Eff_Avg,Eff_Tot,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,FG%,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,2P%,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,3P%,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,FT%,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,Pts_Avg,Pts_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,TRB_Avg,TRB_Tot,Games,Age,Player,Shot_Usage,TS%,eFG%,%Pts_2P,%Pts_3P,%Pts_FT,2Pr,3Pr,FTr,ASS_TO_Ratio,AST_Share,ORBr,PFDr
12.5,75.0,16.3,6.7,98.0,40.0,40.8,8.8,5.0,53.0,30.0,56.6,7.5,1.7,45.0,10.0,22.2,4.7,1.5,28.0,9.0,32.1,1.8,11.0,2.8,17.0,1.7,10.0,0.2,1.0,5.2,31.0,16.5,99.0,0.7,4.2,4.0,25.0,4.8,29.0,6,28,Chuprov Alexey,127.3,44.87,45.92,60.6,30.3,9.1,54.1,45.9,28.6,0.6,13.1,3.51,31.63
0.8,5.0,1.5,0.5,9.0,3.0,33.3,1.5,0.5,9.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.0,1.0,50.0,0.8,5.0,1.7,10.0,0.8,5.0,0.7,4.0,0.5,3.0,1.2,7.0,0.7,1.8,4.0,11.0,2.5,15.0,6,23,Fedorov Filipp,19.9,35.43,33.33,85.7,0.0,14.3,100.0,0.0,22.2,0.5,5.95,3.51,33.33
8.0,16.0,7.5,2.5,15.0,5.0,33.3,4.0,1.5,8.0,3.0,37.5,3.5,1.0,7.0,2.0,28.6,0.5,0.5,1.0,1.0,100.0,1.0,2.0,0.5,1.0,2.0,4.0,0.0,0.0,1.5,3.0,6.5,13.0,0.5,2.5,1.0,5.0,3.0,6.0,2,,Fursov Ivan,16.4,42.1,40.0,46.2,46.2,7.7,53.3,46.7,6.7,2.0,2.38,0.88,20.0
18.3,165.0,11.0,4.4,99.0,40.0,40.4,4.6,2.4,41.0,22.0,53.7,6.4,2.0,58.0,18.0,31.0,6.0,3.8,54.0,34.0,63.0,3.0,27.0,3.0,27.0,1.9,17.0,0.1,1.0,6.1,55.0,14.7,132.0,0.9,6.1,8.0,55.0,7.0,63.0,9,24,Fursov Mikhail,149.8,53.76,49.49,33.3,40.9,25.8,41.4,58.6,54.5,1.0,32.14,7.02,55.56
2.6,18.0,6.6,1.9,46.0,13.0,28.3,3.7,1.1,26.0,8.0,30.8,2.9,0.7,20.0,5.0,25.0,1.1,0.9,8.0,6.0,75.0,1.0,7.0,2.6,18.0,0.9,6.0,0.0,0.0,2.1,15.0,5.3,37.0,0.4,2.3,3.0,16.0,2.7,19.0,7,24,Husmeni Alen,67.5,37.36,33.7,43.2,40.5,16.2,56.5,43.5,17.4,0.4,8.33,2.63,32.61
0.0,0.0,9.7,2.0,29.0,6.0,20.7,2.0,0.3,6.0,1.0,16.7,7.7,1.7,23.0,5.0,21.7,0.7,0.3,2.0,1.0,50.0,1.7,5.0,1.7,5.0,0.3,1.0,0.0,0.0,0.3,1.0,6.0,18.0,1.0,2.0,3.0,6.0,3.0,9.0,3,18,Ivan Fursov,34.9,30.12,29.31,11.1,83.3,5.6,20.7,79.3,6.9,1.0,5.95,2.63,3.45
5.1,46.0,6.7,2.6,60.0,23.0,38.3,4.2,2.1,38.0,19.0,50.0,2.4,0.4,22.0,4.0,18.2,1.0,0.3,9.0,3.0,33.3,0.8,7.0,1.7,15.0,0.8,7.0,0.1,1.0,1.0,9.0,5.9,53.0,1.1,4.4,10.0,40.0,5.6,50.0,9,29,Kutsupii Dmitrii,79.0,41.43,41.67,71.7,22.6,5.7,63.3,36.7,15.0,0.5,8.33,8.77,15.0
1.5,9.0,3.0,0.7,18.0,4.0,22.2,2.7,0.7,16.0,4.0,25.0,0.3,0.0,2.0,0.0,0.0,0.8,0.3,5.0,2.0,40.0,0.3,2.0,0.8,5.0,0.3,2.0,0.0,0.0,0.7,4.0,1.7,10.0,1.7,2.5,10.0,15.0,4.2,25.0,6,44,Marnat Erlend,25.2,24.75,22.22,80.0,0.0,20.0,88.9,11.1,27.8,0.4,2.38,8.77,22.22
6.6,53.0,3.9,1.3,31.0,10.0,32.3,2.9,0.9,23.0,7.0,30.4,1.0,0.4,8.0,3.0,37.5,1.5,1.3,12.0,10.0,83.3,0.1,1.0,0.6,5.0,0.3,2.0,0.0,0.0,1.4,11.0,4.1,33.0,2.4,3.4,19.0,27.0,5.8,46.0,8,29,Novokshonov Andrei,41.3,45.48,37.1,42.4,27.3,30.3,74.2,25.8,38.7,0.2,1.19,16.67,35.48
0.4,3.0,6.8,1.5,54.0,12.0,22.2,2.8,0.9,22.0,7.0,31.8,4.0,0.6,32.0,5.0,15.6,0.4,0.1,3.0,1.0,33.3,0.9,7.0,1.4,11.0,0.3,2.0,0.0,0.0,0.5,4.0,3.8,30.0,1.1,2.4,9.0,19.0,3.5,28.0,8,29,Pikalov Maksim,66.3,27.11,26.85,46.7,50.0,3.3,40.7,59.3,5.6,0.6,8.33,7.89,7.41
4.8,38.0,5.4,2.1,43.0,17.0,39.5,5.3,2.1,42.0,17.0,40.5,0.1,0.0,1.0,0.0,0.0,0.6,0.5,5.0,4.0,80.0,0.4,3.0,1.3,10.0,0.3,2.0,0.5,4.0,0.9,7.0,4.8,38.0,2.0,3.0,16.0,24.0,5.0,40.0,8,34,Rudnikov Vyacheslav,55.2,42.04,39.53,89.5,0.0,10.5,97.7,2.3,11.6,0.3,3.57,14.04,16.28
10.9,87.0,4.4,2.3,35.0,18.0,51.4,4.4,2.3,35.0,18.0,51.4,0.0,0.0,0.0,0.0,0.0,1.5,0.6,12.0,5.0,41.7,0.9,7.0,1.9,15.0,0.9,7.0,0.4,3.0,1.8,14.0,5.1,41.0,3.4,4.5,27.0,36.0,7.9,63.0,8,34,Yanalov Roman,55.3,50.89,51.43,87.8,0.0,12.2,100.0,0.0,34.3,0.5,8.33,23.68,40.0
