Team,Points,Wins,Losses,Scored,Allowed,Games,Points_Diff,Pts_Scored_Avg,Pts_Allowed_Avg,Abbr,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,FG%,2P%,3P%,FT%,%Pts_2P,%Pts_3P,%Pts_FT,2Pr,3Pr,FTr,TRB_Tot,TRB_Avg,ASS_TO_Ratio,eFG%,TS%,ORB%,DRB%,POSS_Tot,Off_Rating,Def_Rating,TO%,Net_Rating,Pace,AST_Rate,STL_Rate,BLK_Rate,PFD_Rate,Win%,Pts_Diff_Avg
Belgrade Bulls,15,7,1,533,426,8,107,66.6,53.2,BEL,61.4,26.0,491.0,208.0,34.0,17.3,272.0,138.0,27.4,8.8,219.0,70.0,12.5,5.9,100.0,47.0,8.4,28.1,67.0,225.0,16.0,128.0,9.6,77.0,7.1,57.0,0.8,6.0,16.4,131.0,42.4,50.7,32.0,47.0,51.8,39.4,8.8,55.4,44.6,20.4,292.0,36.5,1.7,49.49,49.81,24.1,73.82,545.0,97.8,78.2,14.13,19.6,68.1,61.5,10.46,1.1,24.04,87.5,13.4
KK Šljakeri,15,7,1,462,386,8,76,57.8,48.2,KKŠ,57.0,21.9,456.0,175.0,32.4,16.6,259.0,133.0,24.6,5.3,197.0,42.0,18.4,8.8,147.0,70.0,11.8,25.8,94.0,206.0,10.0,80.0,13.6,109.0,10.1,81.0,2.6,21.0,19.5,156.0,38.4,51.4,21.3,47.6,57.6,27.3,15.2,56.8,43.2,32.2,300.0,37.5,0.7,42.98,44.37,30.82,72.08,535.7,86.2,72.1,20.35,14.1,67.0,45.7,15.12,3.92,29.12,87.5,9.5
Dva Telefona,13,6,1,493,402,7,91,70.4,57.4,DVA,61.6,28.3,431.0,198.0,42.0,22.6,294.0,158.0,19.6,5.7,137.0,40.0,13.9,8.1,97.0,57.0,8.4,31.0,59.0,217.0,16.6,116.0,10.4,73.0,8.4,59.0,3.3,23.0,16.3,114.0,45.9,53.7,29.2,58.8,64.1,24.3,11.6,68.2,31.8,22.5,276.0,39.4,1.6,50.58,52.04,24.22,75.65,487.7,101.1,82.4,14.97,18.7,69.7,58.6,12.1,4.72,23.38,85.7,13.0
Ravens Belgrade,13,5,3,444,405,8,39,55.5,50.6,RVB,59.6,20.5,477.0,164.0,34.8,14.6,278.0,117.0,24.9,5.9,199.0,47.0,15.5,8.6,124.0,69.0,12.9,30.1,103.0,241.0,8.4,67.0,15.4,123.0,6.8,54.0,1.5,12.0,17.3,138.0,34.4,42.1,23.6,55.6,52.7,31.8,15.5,58.3,41.7,26.0,344.0,43.0,0.5,39.31,41.76,32.8,75.12,551.6,80.5,73.4,22.3,7.1,69.0,40.9,9.79,2.18,25.02,62.5,4.9
KK Savski,13,5,3,478,439,8,39,59.8,54.9,SAV,60.0,22.6,480.0,181.0,35.8,17.5,286.0,140.0,24.3,5.1,194.0,41.0,19.3,9.4,154.0,75.0,10.1,23.9,81.0,191.0,11.9,95.0,10.3,82.0,9.1,73.0,1.1,9.0,16.1,129.0,37.7,49.0,21.1,48.7,58.6,25.7,15.7,59.6,40.4,32.1,272.0,34.0,1.2,41.98,43.63,27.74,70.53,548.8,87.1,80.0,14.94,7.1,68.6,52.5,13.3,1.64,23.51,62.5,4.9
Pistacci,11,4,3,498,422,7,76,71.1,60.3,PST,63.9,27.4,447.0,192.0,33.3,20.3,233.0,142.0,30.6,7.1,214.0,50.0,17.0,9.1,119.0,64.0,10.6,31.9,74.0,223.0,16.3,114.0,13.0,91.0,6.1,43.0,2.7,19.0,16.6,116.0,43.0,60.9,23.4,53.8,57.0,30.1,12.9,52.1,47.9,26.6,297.0,42.4,1.3,48.55,49.86,28.61,76.15,516.4,96.4,81.7,17.62,14.7,73.8,59.4,8.33,3.68,22.46,57.1,10.9
Fireflies,11,4,3,421,407,7,14,60.1,58.1,FRS,62.4,23.9,437.0,167.0,36.4,17.1,255.0,120.0,26.0,6.7,182.0,47.0,11.6,5.7,81.0,40.0,10.3,27.9,72.0,195.0,11.9,83.0,12.9,90.0,7.1,50.0,2.0,14.0,15.3,107.0,38.2,47.1,25.8,49.4,57.0,33.5,9.5,58.4,41.6,18.5,267.0,38.1,0.9,43.59,44.54,28.05,73.63,490.6,85.8,83.0,18.34,2.8,70.1,49.7,10.19,2.85,21.81,57.1,2.0
Phantom Troupe,8,2,4,337,382,6,-45,56.2,63.7,PHT,61.0,20.0,366.0,120.0,35.5,14.8,213.0,89.0,25.5,5.2,153.0,31.0,17.3,11.0,104.0,66.0,10.3,26.3,62.0,158.0,8.5,51.0,12.7,76.0,5.8,35.0,1.2,7.0,15.7,94.0,32.8,41.8,20.3,63.5,52.8,27.6,19.6,58.2,41.8,28.4,220.0,36.7,0.7,37.02,40.92,28.15,72.53,425.8,79.1,89.7,17.85,-10.6,71.0,42.5,8.22,1.64,22.08,33.3,-7.5
KK Tufe,7,1,5,354,395,6,-41,59.0,65.8,TUF,60.2,21.5,361.0,129.0,35.8,17.2,215.0,103.0,24.3,4.3,146.0,26.0,20.2,11.7,121.0,70.0,10.5,22.0,63.0,132.0,9.3,56.0,12.7,76.0,7.0,42.0,2.5,15.0,19.7,118.0,35.7,47.9,17.8,57.9,58.2,22.0,19.8,59.6,40.4,33.5,195.0,32.5,0.7,39.34,42.73,28.47,68.8,427.2,82.9,92.5,17.79,-9.6,71.2,43.4,9.83,3.51,27.62,16.7,-6.8
KK Tap 011,7,0,7,324,431,7,-107,46.3,61.6,KT0,50.3,16.4,352.0,115.0,30.9,12.6,216.0,88.0,19.4,3.9,136.0,27.0,16.1,9.6,113.0,67.0,6.9,20.4,48.0,143.0,7.0,49.0,12.7,89.0,7.9,55.0,0.9,6.0,14.0,98.0,32.7,40.7,19.9,59.3,54.3,25.0,20.7,61.4,38.6,32.1,191.0,27.3,0.6,36.51,40.33,20.63,67.19,442.7,73.2,97.4,20.1,-24.2,63.2,42.6,12.42,1.36,22.14,0.0,-15.3
Koza Nostra,6,0,6,334,449,6,-115,55.7,74.8,KOZ,60.3,22.0,362.0,132.0,34.3,15.7,206.0,94.0,26.0,6.3,156.0,38.0,11.0,5.3,66.0,32.0,8.8,23.0,53.0,138.0,11.5,69.0,15.3,92.0,9.0,54.0,1.0,6.0,11.0,66.0,36.5,45.6,24.4,48.5,56.3,34.1,9.6,56.9,43.1,18.2,191.0,31.8,0.8,41.71,42.71,25.09,69.75,430.0,77.7,104.4,21.4,-26.7,71.7,52.3,12.56,1.4,15.35,0.0,-19.2
KK Bricklayers,4,0,4,176,310,4,-134,44.0,77.5,BRC,67.5,17.3,270.0,69.0,36.8,11.8,147.0,47.0,30.8,5.5,123.0,22.0,8.0,4.0,32.0,16.0,10.5,23.5,42.0,94.0,11.3,45.0,14.3,57.0,6.3,25.0,1.3,5.0,8.5,34.0,25.6,32.0,17.9,50.0,53.4,37.5,9.1,54.4,45.6,11.9,136.0,34.0,0.8,29.63,30.98,28.47,70.2,299.1,58.8,103.6,19.06,-44.8,74.8,65.2,8.36,1.67,11.37,0.0,-33.5
